Kabupaten/Kota,Kelapa Sawit,Kelapa,Karet,Kopi,Kakao,Tebu,Teh,Tembakau
Sambas,378188.0,13960.0,18106.0,887.0,35.0,125.0,0.0,0.0
Bengkayang,201288.0,2554.0,21732.0,90.0,202.0,0.0,0.0,0.0
Landak,251571.0,0.0,30221.0,180.0,134.0,0.0,0.0,0.0
Mempawah,28607.0,18188.0,3403.0,179.0,117.0,0.0,0.0,0.0
Sanggau,1245760.0,105.0,55440.0,12.0,158.0,0.0,0.0,0.0
Ketapang,3445304.0,1608.0,15810.0,518.0,26.0,5.0,0.0,0.0
Sintang,433835.0,343.0,40874.0,88.0,8.0,0.0,0.0,0.0
Kapuas Hulu,262570.0,3.0,12627.0,2.0,1.0,0.0,0.0,0.0
Sekadau,968766.0,1.0,22480.0,0.0,34.0,0.0,0.0,0.0
Melawi,112818.0,87.0,16172.0,1.0,0.0,0.0,0.0,0.0
Kayong Utara,141890.0,3834.0,2016.0,462.0,0.0,0.0,0.0,0.0
Kubu Raya,296189.0,36942.0,13876.0,730.0,1.0,0.0,0.0,0.0
Kota Pontianak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Singkawang,5138.0,1.53,4.89,4.0,241.0,0.0,0.0,0.0
Tanah Laut,164757.0,820.0,13228.0,79.0,0.0,0.0,0.0,0.0
Kota Baru,563831.0,2565.0,5099.0,4.0,1.0,0.0,0.0,0.0
Banjar,7810.0,1699.0,28473.0,395.0,7.0,0.0,0.0,0.0
Barito Kuala,25498.0,2847.0,2354.0,0.0,0.0,0.0,0.0,0.0
Tapin,57648.0,402.0,9215.0,5.0,0.0,0.0,0.0,0.0
Hulu Sungai Selatan,19448.0,6322.0,11997.0,3.0,24.0,0.0,0.0,0.0
Hulu Sungai Tengah,0.0,4389.0,20070.0,106.0,0.0,0.0,0.0,0.0
Hulu Sungai Utara,5685.0,340.0,384.0,0.0,0.0,0.0,0.0,0.0
Tabalong,19452.0,1622.0,60422.0,417.0,30.0,0.0,0.0,0.0
Tanah Bumbu,276439.0,1351.0,23819.0,3.0,3.0,0.0,0.0,0.0
Balangan,8068.0,323.0,32307.0,31.0,0.0,0.0,0.0,0.0
Kota Banjarmasin,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Banjar Baru,154.0,78.0,609.0,0.0,0.0,0.0,0.0,0.0
Kotawaringin Barat,937606.04,391.46,11878.27,15.3,0.0,0.0,0.0,0.0
Kotawaringin Timur,2070339.04,5648.59,22440.06,93.6,1.51,0.0,0.0,0.0
Kapuas,514541.94,3055.62,15644.5,4.25,0.0,0.0,0.0,0.0
Barito Selatan,14809.28,91.51,10218.39,0.01,109.7,0.0,0.0,0.0
Barito Utara,120960.88,116.32,37363.27,5.55,1388.63,0.0,0.0,0.0
Sukamara,480851.93,139.88,1882.45,0.04,0.0,0.0,0.0,0.0
Lamandau,568214.0,20.65,1331.4,0.82,0.39,0.0,0.0,0.0
Seruyan,1420604.89,1422.42,6676.88,2.75,0.0,0.0,0.0,0.0
Katingan,227500.71,165.32,2769.92,0.31,0.0,0.0,0.0,0.0
Pulang Pisau,298468.61,5231.41,20231.2,47.17,0.0,0.0,0.0,0.0
Gunung Mas,107865.0,52.55,20277.0,2.5,0.0,0.0,0.0,0.0
Barito Timur,59478.11,45.83,19331.34,4.06,22.93,0.0,0.0,0.0
Murung Raya,0.0,47.1,13561.58,39.0,10.23,0.0,0.0,0.0
Palangka Raya,5546.42,185.22,3545.22,15.65,3.46,0.0,0.0,0.0
Paser,2262319.0,622.0,8703.0,54.0,6.0,0.0,0.0,0.0
Kutai Barat,1819377.0,218.0,32064.0,28.0,21.0,0.0,0.0,0.0
Kutai Kartanegara,3739723.0,2619.0,15466.0,10.0,31.0,0.0,0.0,0.0
Kutai Timur,7948189.0,679.0,1868.0,59.0,1455.0,0.0,0.0,0.0
Berau,927118.0,1794.0,7256.0,9.0,709.0,0.0,0.0,0.0
Penajam Paser Utara,927118.0,1022.0,1564.0,1.0,1.0,0.0,0.0,0.0
Mahakam Ulu,88854.0,4.0,0.0,0.0,289.0,0.21,0.0,0.0
Kota Balikpapan,208.0,562.0,4246.0,3.0,1.0,0.0,0.0,0.0
Kota Samarinda,15102.0,306.0,316.0,0.0,3.0,0.0,0.0,0.0
Kota Bontang,52.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Malinau,4208.3,0.0,256.2,83.9,61.38,0.0,0.0,0.0
Bulungan,3493.0,305.9,28.2,76.8,63.03,0.0,0.0,0.0
Tana Tidung,555.31,7.2,0.8,2.23,0.0,0.0,0.0,0.0
Nunukan,66153.9,210.22,11.5,30.46,686.32,7.25,0.0,0.0
Tarakan,0.0,49.8,0.0,0.07,0.0,0.0,0.0,0.0
